TIME	LOGL	VPH
1.016999999999999993e+01 4.230514005253201049e+01 6.947829244783892632e+08
1.017999999999999972e+01 4.230525046525178823e+01 6.947876719614295959e+08
1.018999999999999950e+01 4.230536092942444526e+01 6.947924176072251797e+08
1.020000000000000107e+01 4.230547153144270567e+01 6.947971610082228184e+08
1.021000000000000085e+01 4.230558213443260485e+01 6.948019043937889338e+08
1.022000000000000064e+01 4.230569274669554147e+01 6.948066473807801008e+08
1.023000000000000043e+01 4.230580562702579073e+01 6.948113458500092030e+08
1.024000000000000021e+01 4.230591955460337772e+01 6.948159850588179827e+08
1.025000000000000000e+01 4.230603349871341834e+01 6.948206227651350498e+08
1.025999999999999979e+01 4.230614757292038064e+01 6.948252580928069353e+08
1.026999999999999957e+01 4.230626166172843483e+01 6.948298932293570042e+08
1.027999999999999936e+01 4.230637575595444844e+01 6.948345280853924751e+08
1.029000000000000092e+01 4.230649129236730488e+01 6.948391324599417448e+08
1.030000000000000071e+01 4.230660905610250211e+01 6.948436496956367493e+08
1.031000000000000050e+01 4.230672683293697389e+01 6.948481649877228737e+08
1.032000000000000028e+01 4.230684475051375415e+01 6.948526784143230915e+08
1.033000000000000007e+01 4.230696272372378530e+01 6.948571911159007549e+08
1.033999999999999986e+01 4.230708069656773063e+01 6.948617035880250931e+08
1.034999999999999964e+01 4.230719931068576756e+01 6.948662073401997089e+08
1.035999999999999943e+01 4.230732021500119089e+01 6.948706221133142710e+08
1.037000000000000099e+01 4.230744111759874926e+01 6.948750325414422750e+08
1.038000000000000078e+01 4.230756209738261475e+01 6.948794415384030342e+08
1.039000000000000057e+01 4.230768315889800135e+01 6.948838490954598188e+08
1.040000000000000036e+01 4.230780421972831107e+01 6.948882565101983547e+08
1.041000000000000014e+01 4.230792530434197829e+01 6.948926633547946215e+08
1.041999999999999993e+01 4.230804910556216214e+01 6.948969779779214859e+08
1.042999999999999972e+01 4.230817304899838405e+01 6.949012697613420486e+08
1.043999999999999950e+01 4.230829703031704980e+01 6.949055606160416603e+08
1.045000000000000107e+01 4.230842111846916964e+01 6.949098494458410740e+08
1.046000000000000085e+01 4.230854520670128949e+01 6.949141382323341370e+08
1.047000000000000064e+01 4.230866931843831935e+01 6.949184264582556486e+08
1.048000000000000043e+01 4.230879501170609558e+01 6.949226569071310759e+08
1.049000000000000021e+01 4.230892122304442182e+01 6.949268360720582008e+08
1.050000000000000000e+01 4.230904744033341558e+01 6.949310139936556816e+08
1.050999999999999979e+01 4.230917376419202469e+01 6.949351894671013355e+08
1.051999999999999957e+01 4.230930009353956933e+01 6.949393647807316780e+08
1.052999999999999936e+01 4.230942643578117668e+01 6.949435396051228046e+08
1.054000000000000092e+01 4.230955386696279419e+01 6.949476877476210594e+08
1.055000000000000071e+01 4.230968197238259165e+01 6.949517492603034973e+08
1.056000000000000050e+01 4.230981006167496616e+01 6.949558082239803076e+08
1.057000000000000028e+01 4.230993821521706622e+01 6.949598654391026497e+08
1.058000000000000007e+01 4.231006639458426832e+01 6.949639217199964523e+08
1.058999999999999986e+01 4.231019458553312518e+01 6.949679777094705105e+08
1.059999999999999964e+01 4.231032315038751790e+01 6.949720238722485304e+08
1.060999999999999943e+01 4.231045280593784952e+01 6.949759945844156742e+08
1.062000000000000099e+01 4.231058234621627889e+01 6.949799404737849236e+08
1.063000000000000078e+01 4.231071198546793255e+01 6.949838846979985237e+08
1.064000000000000057e+01 4.231084172970555102e+01 6.949878272328668833e+08
1.065000000000000036e+01 4.231097147949533621e+01 6.949917696399445534e+08
1.066000000000000014e+01 4.231110125057281124e+01 6.949957114074623585e+08
1.066999999999999993e+01 4.231123485678173779e+01 6.949995967508331537e+08
1.067999999999999972e+01 4.231136769489377514e+01 6.950034224114754200e+08
1.068999999999999950e+01 4.231150048519957352e+01 6.950072453558021784e+08
1.070000000000000107e+01 4.231163325636907757e+01 6.950110665824394226e+08
1.071000000000000085e+01 4.231176602506500473e+01 6.950148873651692867e+08
